#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 0.1 mA
#	Delay Time: 20 ms
#	Maximum Current: 10 mA
#	Minimum Current: 0 mA
#	Voltage Range: 10 V
#Data:
Current (A),Voltage (V),Resistance (Ohm)
0.005100000000000018,-3.92587894e-06,-0.0007697801843137229
0.0050000000000000175,-3.38144911e-06,-0.0006762898219999976
0.004900000000000018,-3.3814483e-06,-0.0006900914897959158
0.004800000000000019,-1.2037293e-06,-0.00025077693749999904
0.004700000000000019,-2.83701855e-06,-0.0006036209680851039
0.004600000000000019,-1.74815905e-06,-0.00038003457608695496
0.00450000000000002,-3.92587804e-06,-0.0008724173422222185
0.00440000000000002,-5.01473754e-06,-0.001139713077272722
0.00430000000000002,-6.59299556e-07,-0.00015332547813953415
0.0042000000000000206,-1.74815905e-06,-0.0004162283452380932
0.004100000000000021,-5.01473754e-06,-0.0012231067170731644
0.004000000000000022,-3.3814483e-06,-0.0008453620749999954
0.003900000000000022,-6.64802678e-06,-0.0017046222512820417
0.003800000000000022,-3.3814483e-06,-0.0008898548157894685
0.0037000000000000223,-2.2925888e-06,-0.0006196185945945909
0.003600000000000023,-6.10359704e-06,-0.0016954436222222113
0.003500000000000023,-3.92587804e-06,-0.0011216794399999926
0.0034000000000000237,-2.2925888e-06,-0.000674290823529407
0.003300000000000024,-3.3814483e-06,-0.0010246813030302957
0.0032000000000000244,-5.01473754e-06,-0.001567105481249988
0.0031000000000000246,-2.83701855e-06,-0.0009151672741935411
0.0030000000000000248,-2.83701855e-06,-0.0009456728499999921
0.0029000000000000254,-3.92587588e-06,-0.0013537503034482638
0.0028000000000000256,-2.83701674e-06,-0.001013220264285705
0.002700000000000026,-3.92587588e-06,-0.0014540281037036895
0.0026000000000000263,-5.01473501e-06,-0.0019287442346153651
0.0025000000000000265,-5.01473501e-06,-0.002005894003999979
0.002400000000000027,-6.10359415e-06,-0.0025431642291666376
0.0023000000000000273,-1.74815761e-06,-0.0007600685260869475
0.002200000000000028,-3.38144631e-06,-0.0015370210499999805
